Unnamed: 0,Product,User,Review,Sentiments
16,deskjet,jugal_js_saikia,HP Deskjet Advantage 3700 Series printer gets you great quality prints in a little shape. It's really great!!  #ReinventMemories @user,Positive
17,deskjet,ItsKaraN007,HP Deskjet Advantage 3700 Series printer gets you great quality prints in a little shape #ReinventMemories @user,Positive
18,deskjet,gainer_91,HP Deskjet Advantage 3700 Series takes care of all your printing.. #ReinventMemories @user   ',Positive
19,deskjet,seemavyas73,HP Deskjet Advantage 3700 Series the printer  loved to be for the memories with great quality prints  #ReinventMemories @user,Positive
20,deskjet,gainer_91,The HP Deskjet Advantage' 3700 Series with great quality prints in a little shape #ReinventMemories @user,Positive
21,deskjet,jugal_js_saikia,HP Deskjet Advantage 3700 Series takes care of all your printing.. #ReinventMemories @user,Positive
22,deskjet,ugvyas00,HP Deskjet Advantage 3700 Series takes care of all your printing woes! #ReinventMemories @user,Positive
23,deskjet,1985luckygal,Low maintenance &amp; costs with great quality makes HP Deskjet Advantage 3700 Series printers makes it attractive. #ReinventMemories @user,Positive
24,deskjet,ugvyas00,Clear printing only possible through HP Deskjet Advantage 3700 Series #ReinventMemories @user,Positive
25,deskjet,real_piyush,So Low cost printing with the world’s smallest printer : The HP Deskjet Advantage 3777 #ReinventMemories @user,Positive
26,deskjet,roshanshetty1,"Also For Little Kids
This Small Printer Can Help To Print Out Easily
HP Deskjet Advantage 3777
#ReinventMemories
@user",Positive
27,deskjet,KaranKundnani9,"#ReinventMemories The HP Deskjet Ink Advantage 3700 series printer is designed to fit into your life and in your room! :)
@user",Positive
28,deskjet,ajayhere,glad HP Deskjet Advantage 3700 Series takes care of all my printing woes! #ReinventMemories @user,Positive
29,deskjet,what_thehelll,Low cost printing with the world’s smallest printer : The HP Deskjet Advantage 3777 #ReinventMemories @user,Positive
30,deskjet,ajayhere,"#ReinventMemories HP Deskjet Ink Advantage 3700 series printers are impeccably designed to fit your space and life 
@user",Positive
31,deskjet,what_thehelll,The HP Deskjet Advantage 3700 Series ensure low maintenance &amp; costs with best quality. What else could you want? #ReinventMemories @user,Positive
32,deskjet,dare2zak,"#ReinventMemories HP Deskjet Ink Advantage 3700 series printers are impeccably designed to fit your space and life 
@user",Positive
33,deskjet,plasticharsh,I would have loved to print my childhood drawings if I had HP Deskjet Advantage 3777 series printer 🖨 #ReinventMemories @user,Positive
34,deskjet,vinaylohia82,The HP Deskjet Advantage 3700 Series from @user ensures low cost maintenance with great quality.  #ReinventMemories @user,Positive
35,deskjet,nandaniya_vinod,"#ReinventMemories New HP Scroll Scan in HP DeskJet Ink Advantage 3700 Series helps to  easily handle most scan jobs
@user",Positive
36,deskjet,nandaniya_vinod,#ReinventMemories The colourfully compact HP Deskjet Ink Advantage 3700 series provides powerful performance @user,Positive
37,deskjet,munimun46751705,HP Deskjet Advantage 3700 Series takes care of all your printing woes! #ReinventMemories @user,Positive
38,deskjet,munimun46751705,Crystal clear printing only possible through HP Deskjet Advantage 3700 Series #ReinventMemories @user,Positive
39,deskjet,anahitairani1,So glad HP Deskjet Advantage 3700 Series takes care of all my printing woes! #ReinventMemories @user,Positive
40,deskjet,littletanmoy,I am so happy to see new innovations The HP Deskjet Advantage 3777 #ReinventMemories has low cost printing @user,Positive
41,deskjet,dare2zak,"HP Deskjet Advantage 3700 series is an ultra compact all-in-one printer designed to fit where you need it 
#ReinventMemories @user",Positive
42,deskjet,dare2zak,"#ReinventMemories HP Deskjet Ink Advantage 3700 series is compact, Wireless and affordable all-in-one printer from @user",Positive
43,deskjet,dare2zak,"I would #ReinventMemories and print this picture with the HP Deskjet Ink Advantage 3700 series 
@user",Positive
44,deskjet,nandaniya_vinod,#ReinventMemories HP Deskjet Ink Advantage 3700 series features a sleek and colourful design providing complete mobile solutions @user,Positive
45,deskjet,dheeraj5264,"The HP Deskjet Advantage 3700 Series having low maintenance and costs with great printing. Thats all one wants. #ReinventMemories
@user",Positive
46,deskjet,itsprateek08,HP Deskjet Advantage 3700 Series takes care of all your printing woes! #ReinventMemories @user,Positive
47,deskjet,nandaniya_vinod,"#ReinventMemories HP Deskjet Ink Advantage 3700 series printers are impeccably designed to fit your space and life 
@user",Positive
48,deskjet,rsairajeswari,"If I Had HP Deskjet Advantage 3700 Series 
Id Print Smile ,Crawling Of My Tiny Tot &lt;3
#ReinventMemories
@user",Positive
49,deskjet,Vincivijayan,Now Crystal clear printing only possible through HP Deskjet Advantage 3700 Series #ReinventMemories @user,Positive
50,deskjet,Iamchetanpandit,Guys HP Deskjet Advantage 3700 Series takes care of all your printing woes! #ReinventMemories @user,Positive
51,deskjet,rsairajeswari,"HP Deskjet Advantage 3700 Series Is Easy To Use With Low Maintainence &amp; Low Cost Too!
#ReinventMemories
@user",Positive
52,deskjet,rsairajeswari,"HP Deskjet Advantage 3700 Series Looks So Sweet Like Little Kids Smile In Tiny Way For Tiny Tots Pics
#ReinventMemories
@user",Positive
53,deskjet,rsairajeswari,"For Little Kids
here comes Tiny Printer Ever 
It Is HP Deskjet Advantage 3700 Series 
#ReinventMemories
@user",Neutral
54,deskjet,manishmaan14,Friends Crystal clear printing only possible through HP Deskjet Advantage 3700 Series #ReinventMemories @user,Positive
55,deskjet,rsairajeswari,"HP Deskjet Advantage 3700 Series Gives best Quality Pics In Affordable Price
#ReinventMemories
@user",Positive
56,deskjet,dj_dj11,The HP Deskjet Advantage 3700 Series is here with good quality prints wirelessly. #ReinventMemories @user,Positive
57,deskjet,lr_musthaqueem,HP Deskjet Advantage 3700 Series is here with good quality prints wirelessly. #ReinventMemories @user,Positive
58,deskjet,Goan_Senorita,Crystal clear printing only possible through HP Deskjet Advantage 3700 Series #ReinventMemories @user,Positive
59,deskjet,Goan_Senorita,HP Deskjet Advantage 3700 Series takes care of all your printing woes! #ReinventMemories @user,Positive
60,deskjet,ChipuSultan,"The Small Printer Can Help To Print Out Easily
HP Deskjet Advantage 3777
#ReinventMemories
@user",Positive
61,deskjet,rsairajeswari,"Here Comes The Low Cost Printer With Smallest In Size for Small Kids
HP Deskjet Advantage 3777
#ReinventMemories
@user",Positive
62,deskjet,rsairajeswari,"For Little Kids
This Small Printer Can Help To Print Out Easily
HP Deskjet Advantage 3777
#ReinventMemories
@user",Positive
63,deskjet,rsairajeswari,"Now Printing Photos Is Easier With HP Deskjet Advantage 3777 With Smallest Printer!
#ReinventMemories
@user",Positive
64,deskjet,HappyToHLP,"It's beautiful, it's smallest and it's all-in-one. Yes it's HP Deskjet Advantage 3700 Series #ReinventMemories @user",Positive
65,deskjet,nandaniya_vinod,"#ReinventMemories HP Deskjet Ink Advantage 3700 series is compact, Wireless and affordable all-in-one printer from @user",Positive
66,deskjet,nandaniya_vinod,"HP Deskjet Advantage 3700 series is an ultra compact all-in-one printer designed to fit where you need it 
#ReinventMemories @user",Positive
67,deskjet,riyushah5,Presently you can get minimal effort printing with the world's smallest printer : The HP Deskjet Advantage 3777 #ReinventMemories @user,Positive
68,deskjet,mknarnoliya,HP Deskjet Advantage 3700 Series with awesome quality prints in a little shape #ReinventMemories @user,Positive
69,deskjet,ItsKaraN007,The HP Deskjet Advantage 3700 Series is here with good quality prints wirelessly. #ReinventMemories @user,Positive
70,deskjet,ItsKaraN007,Time to get low cost printing with the world’s smallest printer : The HP Deskjet Advantage 3777 #ReinventMemories @user,Positive
71,deskjet,TheRealVK09,HP Deskjet Advantage 3775 help students in doing quality #ReinventMemories @user,Positive
72,deskjet,rekhakrishnan31,Amazing photographs printing experience with HP Deskjet Advantage 3700 Series #ReinventMemories @user,Positive
73,deskjet,Deepak_Nagar100,I might want to print the photo of my Childhood Memories with HP Deskjet Ink 3777 #ReinventMemories @user,Neutral
74,deskjet,manojkumar2897,Now You can Print high quality holiday pictures with HP Deskjet Advantage 3775 #ReinventMemories @user,Positive
75,deskjet,manojkumar2897,"The World’s smallest  beauty to look at #ReinventMemories
The HP Deskjet Advantage 3700 Series  @user",Positive
76,deskjet,manojkumar2897,HP Deskjet Advantage 3775 Series gonna help students in doing quality #ReinventMemories @user,Positive
77,deskjet,Deepak_Nagar100,The HP Deskjet Advantage 3700 Series with awesome quality prints in a little shape #ReinventMemories @user,Positive
78,deskjet,sprabhatsingh11,The world's smallest all in one printer is here with full features.HP deskjet advantage 3700 is rocking now #ReinventMemories @user,Positive
79,deskjet,pramod9776,"Imagining about world let your kid print it out at a very low cost by
 The HP DeskJet Advantage 3777 : @user
#ReinventMemories",Positive
80,deskjet,pramod9776,"low cost printing with t
he world’s smallest printer :
 The HP DeskJet Advantage 3777 : @user
#ReinventMemories",Positive
81,deskjet,plasticharsh,Low cost printing with the world’s smallest printer : The HP Deskjet Advantage 3777 #ReinventMemories @user,Positive
82,deskjet,zubby_44,Get brilliant and clear prints at extremely low cost with all new HP DeskJet GT by @user #HPDeskJetGTSeries @user,Positive
83,deskjet,DileepAthavale,"HP India announced, on the auspicious occasion of Ganesh Chaturthi, its new  range of HP Deskjet Ink Advantage printers for home customers",Positive
84,deskjet,Mr_Abhimanyu,"Bought HP Deskjet Ink Advantage 3545, it's not supporting win XP and no help from @user. #hpprinters.",Negative
85,deskjet,KacchiKairi,Guys! @user #contest is on till 30th! Its open for pan India! You can still participate &amp; #win a HP Ink Advantage Deskjet 1515 All-in-one,Positive
